addon_id,addon_name,addon_type,unit_price,billing_mode,status
A001,Herbs marinated chicken breast,protein,160,per_day,live
A002,CBP Protein Smoothie,drink,220,per_day,live
A003,Chia-Protein Smoothie,drink,210,per_day,live
A004,Steamed edamame,bites,150,per_day,live
A005,Protein Peanut Butter Brownie,dessert,190,one_time,live
A006,Greek yogurt granola,bites,170,one_time,live
