Plan,Data.Column1,Data.Column2,Data.Column3,Data.Column4,Data.Column5,Data.Column6,Data.Column7,Calories,Protein,Carbohydrates,Fats,Fiber
Elite-Veg Plan-Dinner,Week 3,Sat,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Dinner,Week 4,Mon,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,649,35,44,45,10
Elite-Veg Plan-Dinner,Week 4,Tue,Mesclun Quinoa Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Crunchy Nut mix,993,44,73,66,14
Elite-Veg Plan-Dinner,Week 4,Wed,Yuzu Corn Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Maple Togarashi Spiced Nuts,859,37,67,56,12
Elite-Veg Plan-Dinner,Week 4,Thu,Ragi Jowar Chapathi,Paneer Butter Masala,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,779,32,83,38,17
Elite-Veg Plan-Dinner,Week 4,Fri,Furikake Avocado Toast,Paneer grilled,Shirazi salad,Roasted sweet potato,Maple Togarashi Spiced Nuts,1152,46,105,68,24
Elite-Veg Plan-Dinner,Week 4,Sat,Yuzu Corn Salad,Paneer grilled,Steamed Edamame,Roasted sweet potato,Crunchy Nut mix,873,38,65,58,12
Elite-Non-Veg Plan-Lunch,Week 1,Mon,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,726,51,28,45,8
Elite-Non-Veg Plan-Lunch,Week 1,Tue,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,735,57,58,37,11
Elite-Non-Veg Plan-Lunch,Week 1,Wed,Yuzu Corn Salad,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Crunchy Nut mix,696,42,62,38,12
Elite-Non-Veg Plan-Lunch,Week 1,Thu,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,661,42,80,24,17
Elite-Non-Veg Plan-Lunch,Week 1,Fri,Protein Chicken Collagen Millet Kanji,Omlet,Coconut Sambol,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,582,44,44,29,10
Elite-Non-Veg Plan-Lunch,Week 1,Sat,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,612,32,61,34,16
Elite-Non-Veg Plan-Lunch,Week 2,Mon,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,726,51,28,45,8
Elite-Non-Veg Plan-Lunch,Week 2,Tue,Yuzu Corn Salad,Paneer grilled,Cut fruits,Steamed Edamame,Maple Togarashi Spiced Nuts,797,36,58,54,10
Elite-Non-Veg Plan-Lunch,Week 2,Wed,Protein Chicken Collagen Millet Kanji,Omlet,Coconut Sambol,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,582,44,44,29,10
Elite-Non-Veg Plan-Lunch,Week 2,Thu,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,612,32,61,34,16
Elite-Non-Veg Plan-Lunch,Week 2,Fri,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,661,42,80,24,17
Elite-Non-Veg Plan-Lunch,Week 2,Sat,Grilled Chicken and Avocado Sandwich,,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,628,38,57,32,12
Elite-Non-Veg Plan-Lunch,Week 3,Mon,Protein Chicken Collagen Millet Kanji,Omlet,Coconut Sambol,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,582,44,44,29,10
Elite-Non-Veg Plan-Lunch,Week 3,Tue,Mesclun Quinoa Salad,Soyu egg,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,732,28,70,42,12
Elite-Non-Veg Plan-Lunch,Week 3,Wed,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,Roasted sweet potato,Crunchy Nut mix,625,33,59,36,16
Elite-Non-Veg Plan-Lunch,Week 3,Thu,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,661,42,80,24,17
Elite-Non-Veg Plan-Lunch,Week 3,Fri,Yuzu Corn Salad,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Crunchy Nut mix,696,42,62,38,12
Elite-Non-Veg Plan-Lunch,Week 3,Sat,Scrambled egg sando on multigrain bread,Steamed Edamame,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,564,30,58,27,11
Elite-Non-Veg Plan-Lunch,Week 4,Mon,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber raita,661,42,80,24,17
Elite-Non-Veg Plan-Lunch,Week 4,Tue,Protein Chicken Collagen Millet Kanji,Omlet,Coconut Sambol,Mixed Vegetable Thoran,Maple Togarashi Spiced Nuts,582,44,44,29,10
Elite-Non-Veg Plan-Lunch,Week 4,Wed,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Crunchy Nut mix,748,58,56,39,11
Elite-Non-Veg Plan-Lunch,Week 4,Thu,Furikake Avocado Toast with Jammy Eggs,Steamed Edamame,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,612,32,61,34,16
Elite-Non-Veg Plan-Lunch,Week 4,Fri,Pulled Chicken Caesar Salad,,Cut fruits,Steamed Edamame,Crunchy Nut mix,726,51,28,45,8
Elite-Non-Veg Plan-Lunch,Week 4,Sat,Mesclun Quinoa Salad,Herbs Marinated Chicken Breast,Cut fruits,Roasted sweet potato,Maple Togarashi Spiced Nuts,803,47,72,44,14
Elite-Non-Veg Plan-Dinner,Week 1,Mon,Ragi Jowar Chapathi,Chicken curry,Toor dal fry,Mixed Vegetable Thoran,Cucumber Raita,661,42,80,24,17
Elite-Non-Veg Plan-Dinner,Week 1,Tue,Yuzu Corn Salad,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,689,42,59,39,12
Elite-Non-Veg Plan-Dinner,Week 1,Wed,Grilled Chicken and Avocado Sandwich,Steamed Edamame,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,603,43,44,33,12
Elite-Non-Veg Plan-Dinner,Week 1,Thu,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,741,58,53,40,11
Elite-Non-Veg Plan-Dinner,Week 1,Fri,Grilled Chicken and Avocado Sandwich,Paneer grilled,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,1004,63,61,64,13
Elite-Non-Veg Plan-Dinner,Week 1,Sat,Pulled Chicken Caesar Salad,,Shirazi salad,Steamed Edamame,Crunchy Nut mix,718,51,25,45,7
Elite-Non-Veg Plan-Dinner,Week 2,Mon,Furikake Avocado Toast with Jammy Eggs,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts,889,54,52,62,14
Elite-Non-Veg Plan-Dinner,Week 2,Tue,Scrambled egg sando on multigrain bread,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,741,58,53,40,11
Elite-Non-Veg Plan-Dinner,Week 2,Wed,Grilled Chicken and Avocado Sandwich,Herbs Marinated Chicken Breast,Shirazi salad,Roasted sweet potato,Crunchy Nut mix,839,70,55,46,14
