Week,Day,Meal Type,Main,Protein,Accomp 1,Accomp 2,Accomp 3
W3,Fri,Lunch,Ragi Jowar Chappathi combo,,,,
W3,Fri,Snack,Vegan Chocolate Chips Almond Oats Cookies,,,,
W3,Fri,Drink,Pineapple Gut Booster Tepache,,,,
W3,Fri,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Sat,Lunch,Mesclun Quinoa Salad,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W3,Sat,Snack,Peanut butter and banana toast,,,,
W3,Sat,Drink,ABC Smoothie,,,,
W3,Sat,Dinner,Ragi Jowar Chappathi combo,,,,
W4,Mon,Lunch,Mesclun Quinoa Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W4,Mon,Snack,Peanut butter and banana toast,,,,
W4,Mon,Drink,ABC Smoothie,,,,
W4,Mon,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W4,Tue,Lunch,French Onion Grilled Cheese,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W4,Tue,Snack,Chocolate Chips Oats Cookies,,,,
W4,Tue,Drink,Mint Pineapple Spinach Smoothie,,,,
W4,Tue,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W4,Wed,Lunch,Yuzu Corn Salad,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W4,Wed,Snack,Greek Yogurt Granola Bowl,,,,
W4,Wed,Drink,Monkfruit lemonade,,,,
W4,Wed,Dinner,Ragi Jowar Chappathi combo,,,,
W4,Thu,Lunch,Furikake Avocado Toast with Jammy Eggs,Soyu egg,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W4,Thu,Snack,Protein Peanut Butter Brownie,,,,
W4,Thu,Drink,Masala Chaas,,,,
W4,Thu,Dinner,Vegetable millet broth,Paneer grilled,Cut fruits,Roasted sweet potato,Crunchy Nut mix
W4,Fri,Lunch,Ragi Jowar Chappathi combo,,,,
W4,Fri,Snack,Vegan Chocolate Chips Almond Oats Cookies,,,,
W4,Fri,Drink,Pineapple Gut Booster Tepache,,,,
W4,Fri,Dinner,Vegetable millet broth,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W4,Sat,Lunch,Mesclun Quinoa Salad,Paneer grilled,Shirazi salad,Steamed Edamame,Maple Togarashi Spiced Nuts
W4,Sat,Snack,Peanut butter and banana toast,,,,
W4,Sat,Drink,ABC Smoothie,,,,
W4,Sat,Dinner,Ragi Jowar Chappathi combo,,,,
